address,attraction,chance,city,cname,collected,cuuid,day,degree,delivered,endtime,ftype,iname,industry,info,invited,is_hr,logo,maxsal,mina_url,minsal,month,overdue,refresh,reslan,scale,url
郭守敬路498号,北清复交 人工智能 实习转正 Mentor带教 硬件火力足,可转正,上海,麦穗人工智能,0,com_clpkopl5vvu0,5,本科,0,2019-01-03,1,机器学习开发实习,计算机/互联网,"<p>
	职责描述：<br>
- 开发和优化推荐系统模块<br>
- 开发和优化分析引擎模块<br>
- 构建稳定的服务<br>
- 核心算法后端服务架构的设计、开发、优化<br>
<br>
任职要求：<br>
- 计算机或相关专业本科以上学历<br>
- 良好的逻辑思维能力和数据敏感度<br>
- 优秀的分析和解决问题的能力，对挑战性问题充满激情<br>
- 良好的团队合作精神，较强的沟通能力<br>
- 熟悉Python语言编程，有Scala及Akka编程经验者优先，具有良好的开发能力<br>
- 了解RPC、网络编程、微服务等技术者优先<br>
- 有高并发、高性能服务系统设计开发经验者优先
</p>
<p>
	<span></span><span></span><span></span><span></span><span></span><span></span>
</p>
<p>
	- 可以长期实习（可实习时间超过6个月）或实习转正优先考虑
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/A5/80/A5FB767DBCE5B2A959C407F2406CB780.png,400,pages/zwDetail/zwDetail?uuid=inn_4cuinbwdiqro,280,10,0,2018-12-29 17:16:03,,15-50人,https://www.shixiseng.com/intern/inn_4cuinbwdiqro
北京市石景山区八角街道融科创意中心B座-畅游大厦,每日水果 健身房 图书馆 学习空间大,面议,北京,搜狐畅游,0,com_acphcwmo9zcs,5,本科,0,2019-01-05,1,数据挖掘实习生,计算机/互联网,<strong>该职位接受暑期实习。</strong><br><br><p>工作职责</p><p>负责网络游戏的分析和挖掘。</p><p><br></p><p>任职资格</p><p>1.	至少玩过一种大型端游MMO游戏，或者重度手游MMO游戏&nbsp;</p><p>2.	2019届及以后的毕业生，计算机、数学或统计等相关专业本科及以上学历；&nbsp;</p><p>3.	有过文本挖据经验，或者相关学习精力 ；</p><p>4.	扎实的机器学习/数据挖掘理论和技术基础，具有海量数据处理经验者优先；&nbsp;</p><p>5.	扎实的编程基础，精通至少一门编程语言或有很强的统计基础；</p><p>&nbsp;6.	良好的逻辑思维能力，能够从海量数据中发现有价值的规律；&nbsp;</p><p>7.	优秀的学习能力，分析和解决问题的能力和强烈的进取心；&nbsp;</p><p>8.	诚恳、踏实，对技术和工作充满热情；&nbsp;</p><p>9.	具备良好的沟通能力和团队合作精神 &nbsp;<br></p>,0,False,https://sxsimg.xiaoyuanzhao.com/58/63/5801C1063347DFD45D39BC91D2AE4563.jpg,250,pages/zwDetail/zwDetail?uuid=inn_wgiwmnltugya,200,3,0,2018-12-29 16:59:45,中文,500-2000人,https://www.shixiseng.com/intern/inn_wgiwmnltugya
南沙城办公楼10层04号,绩效奖金 实习转正 晋升空间大 团队氛围好,可转正,广州,义语智能,0,com_qcmzf5xenf9x,4,本科,0,2019-02-28,1,数据爬虫实习生,计算机/互联网,"<strong>该职位接受寒假实习。</strong><br><br><p>
	<p>
		工作职责：<span>&nbsp;</span>
	</p>
	<p>
		1.分布式爬虫系统和数据采集的设计、开发以及任务调度<span>&nbsp;</span>
	</p>
	<p>
		2.爬虫策略和防屏蔽规则，提升网页抓取的效率和质量。<span>&nbsp;</span>
	</p>
	<p>
		3.互联网数据的采集抓取。<span>&nbsp;</span>
	</p>
	<p>
		4.数据的抽取清洗与维护<span>&nbsp;</span>
	</p>
	<p>
		5.参与爬虫算法的策略优化研究<span>&nbsp;</span>
	</p>
	<p>
		<span>&nbsp;&nbsp;</span>
	</p>
	<p>
		岗位要求：<span>&nbsp;</span>
	</p>
	<p>
		1. 熟练使用Python, Requests等
	</p>
	<p>
		2. 熟悉HTML、JavaScript及CSS者优先考虑
	</p>
	<p>
		3. 熟悉Scrapy、Scrapy cluster等常用爬虫框架及技术者优先考虑
	</p>
	<p>
		4. 熟悉lxml、BeautifulSoup等常用Python常用库者优先考虑
	</p>
	<p>
		5. 熟悉Java、Bootstrap者优先考虑<span>&nbsp;</span>
	</p>
	<p>
		6.每周可实习4天，持续2个月以上，统招一类本科以上学历
	</p>
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/09/C6/092F2ACC2A3EED6ADC50E3D63CEDFCC6.png,150,pages/zwDetail/zwDetail?uuid=inn_rmcrdrgz5bxv,100,4,0,2018-12-29 16:59:14,中文,15-50人,https://www.shixiseng.com/intern/inn_rmcrdrgz5bxv
北京市海淀区西北旺东路10号院2号楼未名视通研发楼,福利待遇，公司前景，职位发展,可转正,北京,滴滴出行,0,com_2ibdkj5l4uni,5,本科,0,2019-01-12,1,数据分析实习生-Data Science Dep.,互联网,"<p>
	滴滴出行 数据分析实习生<span></span> 
</p>
<p>
	该职位位于滴滴出行数据科学部快捷乘客分析团队，致力于通过数据回答业务面临的核心问题，分析业务当前的核心痛点。候选人须具备较强的沟通与总结能力，在工作中可很好地学习并锻炼数据分析方法，通过数据回答业务方的核心问题，并将数据展现为精炼和有效的观点帮助业务决策。<span></span> 
</p>
<p>
	<span>&nbsp;</span> 
</p>
<p>
	工作职责<span></span> 
</p>
<p>
	<span>1.&nbsp;&nbsp;&nbsp;&nbsp; </span>与运营、产品一起回答重要的业务问题和产品问题，高效的分析业务当前的核心痛点，将数据精炼为可行动的建议，更为高效和迅速的推进决策。<span></span> 
</p>
<p>
	<span>2.&nbsp;&nbsp;&nbsp;&nbsp; </span>研究和评估业务策略上线效果，回答核心问题，推进业务重要的决策。<span></span> 
</p>
<p>
	<span>3.&nbsp;&nbsp;&nbsp;&nbsp; </span>定义关键指标用来解析当前的业务现状，不断优化和完善日常监控业务现状的数据报表。<span></span> 
</p>
<p>
	<span>&nbsp;</span> 
</p>
<p>
	任职资格：<span></span> 
</p>
<p>
	<span>1.&nbsp;&nbsp;&nbsp;&nbsp; <span>计算机类、信息类、</span></span>数学等相关专业或有相关数据分析实习经历；
</p>
<p>
	<span>2.&nbsp;&nbsp;&nbsp;&nbsp; </span>对数字敏感，对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统性思维能力；<span></span> 
</p>
<p>
	<span>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span>精通</span><span>SQL，熟悉常用的机器学习算法，可python/R实现。</span> 
</p>
<p>
	4.&nbsp; &nbsp; &nbsp;2020年毕业；
</p>
<p>
	<span>5.&nbsp; &nbsp; &nbsp;平均</span>每周可实习4.5天以上，且持续4个月以上。
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,300,pages/zwDetail/zwDetail?uuid=inn_gsitn3r9nfp8,200,5,0,2018-12-29 16:27:44,中文,2000人以上,https://www.shixiseng.com/intern/inn_gsitn3r9nfp8
成都天府新区科学城清华四川能源互联网研究院,年轻、有激情、轻松、愉悦的团队氛围,面议,成都,清华四川能源互联网研究院,0,com_qb3eb5thrqbd,3,本科,0,2019-01-31,1,数据挖掘实习生（能源传感研究所）,"电气,能源","<p style=""text-align:center;"">
	<span style=""font-size:14px;"">清华四川能源互联网研究院实习生招聘</span> 
</p>
<p>
	<span style=""font-size:14px;"">研究院简介：</span> 
</p>
<p>
	<span style=""font-size:14px;"">清华四川能源互联网研究院（以下简称研究院）成立于2016年3月，由清华大学与四川省共同创建。研究院依托清华大学电机系，致力于践行习近平总书记提出的能源“四个革命、一个合作”战略思想（推动能源消费革命、能源供给革命、能源技术革命和能源体制革命，全方位加强国际合作，实现开放条件下的能源安全），积极开展能源互联网的前沿研究和产业培育。</span> 
</p>
<p>
	<span style=""font-size:14px;"">作为清华大学、四川省、美国华盛顿大学、美国华盛顿州在“气候智慧型/低碳城市”建设领域开展“2+2”合作的重要技术依托、交流平台和承载单位，研究院积极响应“能源革命”和“互联网+”行动的号召，以提高我国能源支撑保障能力，推进我国能源结构调整、促进全社会节能减排与能源消费升级，拓展能源国际合作，推进我国能源科技创新为目标，充分吸纳国内外能源相关领域的优秀人才，大力推动学科交叉融合，开展能源互联网核心技术研究及成果转化，建设能源互联网新型业态的科技转化中心、产业孵化基地和人才汇聚平台。</span> 
</p>
<p>
	<span style=""font-size:14px;"">研究院建院一年半以来，凝聚形成能源装备与安全、储能与智能电网、能量管理与交易、能源芯片与传感、氢能与燃料电池技术等五大发展方向，22只创新创业团队，共计260余人，其中博士50人，硕士140人，本科68人，其他3人；国外引进（斯坦福大学、麻省理工大学等）26人，清华大学59人，其他院校（电子科大、四川大学、西安交大等）176人。</span> 
</p>
<br>
<p>
	<span style=""font-size:14px;"">实习期待遇：本科2000元/月，硕士2500元/月，博士3000元/月</span> 
</p>
<p>
	<br>
</p>
<p>
	<span style=""font-size:14px;"">欢迎大家来研究院实习/工作，我们提供给你：</span> 
</p>
<p>
	<span style=""font-size:14px;"">1、最前沿的学术交流；</span> 
</p>
<p>
	<span style=""font-size:14px;"">2、国际项目合作舞台；</span> 
</p>
<p>
	<span style=""font-size:14px;"">3、国际一流学术导师辅导；</span> 
</p>
<p>
	<span style=""font-size:14px;"">4、量身打造的人才培养计划；</span> 
</p>
<p>
	<span style=""font-size:14px;"">5、宽广的职业发展路径；</span> 
</p>
<p>
	<span style=""font-size:14px;"">6、年轻、有激情、轻松、愉悦的团队氛围</span> 
</p>
<p>
	<br>
</p>
<p>
	<span style=""font-size:14px;"">工作职责:</span> 
</p>
<p>
	<span style=""font-size:14px;"">1、根据业务需求设计实验样本数据收集方法，以及前期数据准备工作。</span> 
</p>
<p>
	<span style=""font-size:14px;"">2、协助进行数据的机器学习算法设计与优化，包括室内定位，时序分析预测，异常检测等。</span> 
</p>
<p>
	<span style=""font-size:14px;"">3、对设计的算法进行详细的文档编写，并进行相关文件的规范化输出。</span> 
</p>
<p>
	<span style=""font-size:14px;"">4、根据业务需求，参与数据库的设计。</span> 
</p>
<p>
	<span style=""font-size:14px;"">任职要求:</span> 
</p>
<p>
	<span style=""font-size:14px;"">1、计算机、数学、物理或相关专业大三或研二学生，了解电力技术者优先考虑。</span> 
</p>
<p>
	<span style=""font-size:14px;"">2、了解数据库基本原理，熟悉计算机算法导论。</span> 
</p>
<p>
	<span style=""font-size:14px;"">3、了解机器学习算法如随机森林、卷积网络、聚类分析、LSTM等</span> 
</p>
<p>
	<span style=""font-size:14px;"">4、了解深度网络框架如Tensorflow，Deeplearning4j等。</span> 
</p>
<p>
	<span style=""font-size:14px;"">5、优秀的学习能力和团队协作能力。</span><span></span> 
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/E7/F7/E7F356E4041A136D288E70D7DA4BECF7.jpg,150,pages/zwDetail/zwDetail?uuid=inn_yxigrtjxivzm,100,7,0,2018-12-29 15:54:46,中文,150-500人,https://www.shixiseng.com/intern/inn_yxigrtjxivzm
北京网易研发中心,免费三餐~水果免费~弹性工作时间~,面议,北京,网易有道,0,com_a3zd13corkxd,4,本科,0,2019-06-30,1,数据挖掘实习生,移动互联网,"<strong>该职位接受寒假实习。</strong><br><br><strong>【</strong><span><strong>工作职责</strong></span><strong>】</strong><br>
从互联网的海量信息中抓取并且筛选出有价值的单语和双语数据，帮助机器翻译及相关产品提高翻译质量和语种支持能力，包括但不限于：<br>
&nbsp;* 机器翻译语料系统的抓取策略设计，模型构建，数据抽取等相关算法设计和开发<br>
&nbsp;* 新增语种的语言检测、分句、词法分析；<br>
&nbsp;* 双语对齐算法的实现和改进；<br>
&nbsp;* 双语数据的清洗和筛选；<br>
&nbsp;* 语料数据的分类；<br>
&nbsp;* 由于需要覆盖大量长尾数据及格式，对内容的精确抽取涉及到非常多的挑战。&nbsp;<br>
<br>
<strong>【</strong><span><strong>能力要求</strong></span><strong>】</strong><br>
&nbsp;* 计算机相关专业本科以上学历；<br>
&nbsp;* 有以下任意领域的实践经验：数据挖掘 / 信息检索 / 自然语言处理 / 机器学习 / 统计分析&nbsp; / Hadoop / Spark；<br>
&nbsp;* 对技术充满热情，勇于尝试，有较强创新的能力和快速学习能力；<br>
&nbsp;* 较强的发现、分析和解决技术问题的工程能力；<br>
&nbsp;* 熟悉Linux，熟悉java、C/C++、Python开发；<br>
&nbsp;* 良好的主动性、逻辑思维能力和沟通能力。<br>
<br>
<strong>【</strong><span><strong>加分项</strong></span><strong>】</strong><br>
&nbsp;* 精通Map-Reduce模型，具有使用Hadoop、Hive、Spark、Nutch等相关平台进行大数据处理和挖掘的经验；<br>
&nbsp;* 有过Office/PDF/HTML/XML等多种格式文档解析经验；<br>
&nbsp;* 懂得英语以外的其他外语；<br>
&nbsp;* 踏实，追求细节和完美。<br>
&nbsp;<br>
<strong>【</strong><span><strong>时间要求</strong></span><strong>】</strong><br>
&nbsp; 每周保证32小时的工作时间（其中至少12小时为工作日白天），三个月至半年的实习期<br>",0,False,https://sxsimg.xiaoyuanzhao.com/3D/31/3DFFD4ED4083B7B51971DC8210DEAD31.png,300,pages/zwDetail/zwDetail?uuid=inn_ezjwvz2njkdn,250,3,0,2018-12-29 15:49:39,中文,500-2000人,https://www.shixiseng.com/intern/inn_ezjwvz2njkdn
上海市崂山路316号,和顶尖数据科学家一起工作,可转正,上海,平安科技,0,com_vy8wkyas0goy,4,硕士,0,2019-06-30,1,数据挖掘工程师实习生,"计算机/互联网,金融","<span style=""font-size:14px;"">在平安科技的大数据分析部门，和肖京博士一起工作，肖京博士毕业于美国卡内基梅隆大学，计算机博士</span><br> <span style=""font-size:14px;"">世界顶尖的算法科学家之一，国家千人计划引进专家之一，曾服务于微软等多家国际知名公司，工作地点在崂山路316号。</span><br> <span style=""font-size:14px;"">本科200/天，硕士300/天</span><br> <span style=""font-size:14px;"">主要任务：机器学习算法研究和应用、既有算法的维护和优化、开发新的算法。</span> <p><span style=""font-size:14px;"">硬性要求（以下条件需全部满足）：</span> </p><p><span style=""font-size:14px;"">1. 理解深度学习和传统机器学习常用算法原理并具有实践经验</span> </p><p><span style=""font-size:14px;"">2. 知名985、211或海外高校</span> </p><p><span style=""font-size:14px;"">3. 熟练掌握python</span> </p><p><span style=""font-size:14px;""><span style=""font-size:14px;"">4. 每周至少实习4天</span><br> </span> </p><p><br></p><p><br></p><br> <p><br></p>",0,False,https://sxsimg.xiaoyuanzhao.com/99/B7/9934093BA0C3A665415E2CDAAAC7D5B7.jpeg,300,pages/zwDetail/zwDetail?uuid=inn_akhmqmhearhh,200,3,0,2018-12-29 15:39:53,中文,2000人以上,https://www.shixiseng.com/intern/inn_akhmqmhearhh
珠江新城珠江西路11号广东全球通大厦（地铁近珠江新城）,专业培训,可转正,广州,点动信息,0,com_ybgptausyysl,5,本科,0,2019-05-31,1,内部质量室管理实习生(移),通信,"<p>
	岗位职责
</p>
<p>
	1、常规报表数据、区域日常需求数据收集整理<br>
2、服管劳动竞赛协助、增值业务不知情定制数据整理<br>
3、升级投诉工单指派、投诉工单数据整理
</p>
<p>
	职位要求
</p>
<p>
	1、学历要求：大学本科及以上在校生，2020年毕业生优先考虑；<br>
2、专业要求：无<br>
3、技能要求：熟练办公软件操作<br>
4、素质要求：具备一定的数据分析能力、团队协调能力和责任意识，细致的工作态度以及较强的持续学习意愿
</p>
<p>
	薪酬：<br>
180元/天&nbsp;
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,200,pages/zwDetail/zwDetail?uuid=inn_jw9v2v1brhyv,150,8,0,2018-12-29 15:34:21,中文,500-2000人,https://www.shixiseng.com/intern/inn_jw9v2v1brhyv
广州市广州大道南228号经典居,专业培训,可转正,广州,点动信息,0,com_ybgptausyysl,5,本科,0,2019-05-31,1,数据处理及工具开发（移）,通信,"<p>
	岗位职责：
</p>
<p>
	1、数据处理开发：熟悉一些基本的数据处理工具，能根据需求利用数据处理工具进行数据处理，提升工作效率。
</p>
<p>
	2、运营数据维护：负责按日、周、月等维度处理报送运营数据报表，协助进行数据核对，确保正确性与及时性；
</p>
<p>
	3、通过数据分析，挖掘业务问题，提出优化建议
</p>
<p>
	职位要求：
</p>
<p>
	1、本科及以上在校生；<span>2020年毕业生优先考虑；</span>
</p>
<p>
	2、能熟练运用EXCEL数据透视表及函数应用功能，掌握VBA编程技能者优先、有相关数据可视化工作经验、自动化报表开发工作经验者优先。
</p>
<p>
	3、对数字敏感、数据分析能力强、沟通协调能力强。
</p>
<p>
	薪酬：<br>
180元/天 &nbsp;
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,200,pages/zwDetail/zwDetail?uuid=inn_eii3kzpq2cr7,150,8,0,2018-12-29 15:34:10,中文,500-2000人,https://www.shixiseng.com/intern/inn_eii3kzpq2cr7
广州市天河区天河南二路24号广州银行2楼信用卡中心,数据分析  SQL  统计性分析  数据统计,面议,广州,广州银行信用卡中心,0,com_fyotjmv6ovd5,4,本科,0,2019-04-30,1,数据分析实习生（天河南）,银行,"<p>
	工作职责
</p>
<p>
	1、辅助完成部分统计性分析需求，执行专职人员指派的其他业务分析工作
</p>
2、独立完成少量取数逻辑规则简单的数据统计工作；<br>
<p>
	3、监控已出报表中核心指标的波动情况，在专职人员的指导下完成波动因素分析。
</p>
<p>
	<br>
</p>
<p>
	任职资格
</p>
<p>
	1、本科或以上学历，2020届毕业生或研一、研二学生；<br>
2、数学、统计或计算机相关专业为佳；<br>
3、有过数据分析实习经历或在校参与挖定项目者为佳；<br>
4、熟悉掌握SQL，对SAS有一定了解。
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/6C/9C/6CB2E7EC5B30AFEA56F73924C9844E9C.jpg,100,pages/zwDetail/zwDetail?uuid=inn_ericmtlyl9d2,50,5,0,2018-12-29 15:13:22,中文,500-1000人,https://www.shixiseng.com/intern/inn_ericmtlyl9d2
北京市海淀区学院路甲5号768产业园A座东区2号门4楼,工作环境舒适，有比Google 和 Siri 还牛的研发团队,可转正,北京,蓦然认知,0,com_yai1hnj1wgxx,4,本科,0,2019-06-05,1,数据挖掘实习生,计算机/互联网,"<p>
	<span>我们是一家专注于认知计算，自然语言理解技术的初创公司，拥有领先的交互式任务决策引擎，对外提供人机协作，智能对话整体解决方案；可为机器人，智能硬件等设备制造商提供流畅的人机对话，精准的语义理解，以及知识推理和自动化服务对接功能。可以全语音全自动完成车载交互，家居交互，客服问答等工作，并可以代替特定场景下的人来工作，如餐馆服务员，公司前台和客服，场馆导游，个人助理等，是一个可以快速移植，实时学习，多场景融合的机器人交互及决策系统。</span>
</p>
<p>
	<br>
</p>
<p>
	<u>工作职责：<span></span></u>
</p>
<p>
	1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
挖掘各领域相关数据和资源<span></span>
</p>
<p>
	2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
参与实现大规模分布式数据挖掘系统<span></span>
</p>
<p>
	3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
优化已有数据挖掘模型<span></span>
</p>
<p>
	&nbsp;
</p>
<p>
	<u>任职资格<span>:</span></u>
</p>
<p>
	1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
本科及以上<span></span>
</p>
<p>
	2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
了解常用机器学习、数据挖掘或<span>nlp</span>模型算法<span></span>
</p>
<p>
	3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
熟悉基本数据结构，能独立实现相关算法<span></span>
</p>
<p>
	4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
有良好的的编程功底和代码风格<span></span>
</p>
<p>
	5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
至少精通一门编程语言<span>(c/c++</span>等<span>)</span>和脚本语言<span>(python</span>等<span>)</span>，熟练使用常用算法和数据结构，对算法有较强的实现能力<span></span>
</p>
<p>
	6.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
具有统计或数据挖掘背景，并对机器学习算法和理论有较深入的研究优先<span></span>
</p>
<p>
	7.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
有<span>nlp/ml</span>等项目经验或数据挖掘经验者优先<span></span>
</p>
<p>
	8.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
有问答<span>/</span>知识图谱等领域数据挖掘经验者优先<span></span>
</p>
<p>
	9.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
有爬虫设计和实现经验者优先<span></span>
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/8E/47/8E3A5CBCE4623C9BA688712D8D8A1247.png,350,pages/zwDetail/zwDetail?uuid=inn_xjhiqw97x41v,300,10,0,2018-12-29 14:06:33,中文,50-150人,https://www.shixiseng.com/intern/inn_xjhiqw97x41v
南京市栖霞区兴智路6-3号兴智科技园C栋16层南侧,课本外的知识，校园外的视野，不俗的薪资待遇，活跃的气氛。,可转正,南京,浦和数据,0,com_jj9xjqjuwcj7,4,本科,0,2019-01-04,1,数据分析工程师实习生,计算机/互联网,<p>职位描述：</p><p>1. 调研行业客户的业务逻辑、信息系统与数据架构；</p><p>2. 分解客户问题，对具体问题设计数据处理、数据统计、机器学习的概要算法方案并优化；</p><p>3. 与由数据开发工程师、数据分析师组成的团队协作，最终实现能够解决客户问题的认知智能解决方案。</p><p><br></p><p><br></p><p>任职要求：</p><p>1. 统计学、数学、计算机或相关专业优先；</p><p>2. 对数据挖掘和机器学习等算法有思想理解或实战经验者优先；</p><p>3. 熟悉任意 Python/R/MATLAB/SPSS/SAS 等数据分析工具，熟悉SQL者优先；</p><p>4. 关注大数据、机器学习、人工智能前沿领域，保持好奇心和求知热情。</p><p>5. 具有较强的思维能力，以及良好的沟通与表达能力。</p><p><br></p><p><br></p><p><span>实习生要求：</span> </p><p><span>每周周内出勤在4天及以上；</span> </p><p><span>连续实习时间不少于6个月。</span> </p>,0,False,https://sxsimg.xiaoyuanzhao.com/86/E8/86DBEE672F10C03551926FAEE0294AE8.png,200,pages/zwDetail/zwDetail?uuid=inn_p5jow7ox4ybz,150,6,0,2018-12-29 13:57:34,中文,15-50人,https://www.shixiseng.com/intern/inn_p5jow7ox4ybz
成都高新区天府软件园,完整的技术知识梳理和项目实践，最新最热的IT技术课程,面议,成都,实验楼,0,com_jjdte7otxk4g,3,本科,0,2019-01-05,1,机器学习实验设计实习生,"互联网,软件",工作职责：<br><br>* 梳理机器学习领域的技术知识点<br>* 参与机器学习领域的实验课程与教学体系设计<br>* 设计并完成机器学习领域的系列实验课程<br><br>职位要求：<br><br>* 每周至少保证三天的实习时间<br>* 计算机或相关专业本科高年级或硕士研究生<br>* 熟悉机器学习领域的基础知识和概念，了解常见的机器学习算法原理<br>* 熟悉 Linux 操作系统使用，熟悉 Python 编程语言<br>* 良好的团队合作和沟通能力，能够独立快速学习并解决问题<br>* 有 Github 项目或技术博客优先<br>,0,False,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-18/4HIgW3hO8ZSM0VN.png,200,pages/zwDetail/zwDetail?uuid=inn_9z3ms4bscdaq,150,6,0,2018-12-29 13:41:14,中文,15-50人,https://www.shixiseng.com/intern/inn_9z3ms4bscdaq
中关村中科大厦5层,发展前景,面议,北京,新东方,0,com_pzikuis8dchv,5,本科,0,2019-01-28,1,AI数据处理师,教育培训,"要职责：<br>
1. 负责协助AI中心图片和文字标注数据的优化，并对标注结果进行质量评估和反馈；<br>
2. 负责AI中心图片和文字数据的清理，筛查。<br>
<br>
岗位要求：<br>
1. 全日制本科以上学历，有数据标注、人工智能工作背景优先；<br>
2. 具有良好的学习能力、沟通表达能力、数据分析能力和敏锐的洞察力；<br>
3. 对工作细心、耐心、执行力强、有责任感；<br>
4. 熟练掌握office等办公软件。实习期3个月以上<br>",0,False,https://sxsimg.xiaoyuanzhao.com/76/62/76295C394993A66353496F4EC3EB7962.png,200,pages/zwDetail/zwDetail?uuid=inn_ft0eb8gcs0sm,150,4,0,2018-12-29 11:30:40,中文,2000人以上,https://www.shixiseng.com/intern/inn_ft0eb8gcs0sm
北京市朝阳区慧忠北里222号清空人居大厦,明星投资方 北京硅谷两地办公 个人专属技术导师 提供转正机会,可转正,北京,花牛信息,0,com_pxcfx298uxqa,4,本科,0,2019-01-12,1,数据挖掘实习生,计算机/互联网,"Newsbreak公司介绍：<br>
诞生于硅谷、面向全球市场的互联网创业公司。以兴趣引擎为核心技术，肩负“让天下没有被埋没的好内容”的使命。<br>
目前主打信息流APP-News Break，已经成为北美市场最成功的出海创业公司之一。公司在美国硅谷Santa Clara 和北京均设立办公室，各建优秀团队。<br>
<br>
创始人：前Yahoo北京研究院院长，独角兽一点资讯创始人 郑朝晖博士<br>
首席顾问：雅虎创始人 杨致远<br>
核心团队：主创成员均为连续创业者，成员来自Google Facebook Yahoo 百度 腾讯等公司<br>
明星投资方：丁磊 IDG 真格基金<br>
北京/硅谷两地办公：美国硅谷工作、出差机会，公司协助解决赴美资格<br>
激励制度：创始人奖-10万/15万美金现金奖励，已颁发2次！合伙人制度-公司设立合伙人制度，欢迎优秀人才加入，一起分享公司的成长！<br>
<br>
实习生培养机制：<br>
1.每一位入职的实习生有一位资深工程师做mentor<br>
2.对于优秀的实习生给予转正机会<br>
<br>
实习职位要求如下：&nbsp;<br>
必须技能:<br>
1.熟练掌握C/C++编程语言。&nbsp;<br>
2.熟练掌握并可以灵活使用基础经典算法与数据结构。<br>
<br>
附加技能:<br>
1.Unix/Linux开发环境，可使用Unix工具与Shell脚本解决问题。&nbsp;<br>
2.python、perl等脚本开发，可使用脚本快速高效解决问题。&nbsp;<br>
3.HTML、css、JS相关前端知识<br>
4.机器学习、spider、NLP等相关数据挖掘知识。<br>
<br>
实习时间要求（必须）：<br>
1.每周至少实习4天(周一到周五的任意4天)。<br>
2.至少实习半年以上。<br>
3.面试通过后须15内入职。<br>
<br>
薪酬：300元/天<br>
<br>
<br>",0,False,https://sxsimg.xiaoyuanzhao.com/03/B6/0379FE74FD58026EE268F7A88FAADEB6.png,400,pages/zwDetail/zwDetail?uuid=inn_ccojvxozadhv,300,13,0,2018-12-29 11:14:56,中文,15-50人,https://www.shixiseng.com/intern/inn_ccojvxozadhv
上海市徐汇区宜山路810号11楼,工作环境好，福利待遇佳,面议,上海,三零卫士,0,com_u7vabntuopau,4,不限,0,2019-01-12,1,安全研究员,计算机/互联网,<span>岗位职责：<br>1. 负责为项目和服务客户提供基础安全技术支撑服务，包括渗透测试、源代码审计、应急响应等安全技术工作； <br>2. 负责web安全、云计算安全、移动安全、代码安全等新技术、系统、工具和平台的发展趋势研究，实时跟踪安全新风险、新态势； <br>3. 负责为安全服务内容实施文档模板进行维护，包括安全检查基线、安全报告模板等； <br>4. 参加各类主要安全技术交流活动； <br>5. 完成领和上级主管单位交办的安全技术相关阶段性工作。     <br><br>应聘要求：<br>1. 了解OWASP TOP 10常见漏洞；<br>2 . 熟悉主流安全工具及常规安全测试流程和方法；<br>3. 有良好沟通能力和文案基础；<br>4. 熟悉至少一种主流编程语言（如PHP/Java/Python等）者优先。<br>5. 计算机相关专业，信息安全专业优先；<br>6. 有信息安全比赛相关经验或相关安全证书者优先。</span>,0,False,https://sxsimg.xiaoyuanzhao.com/BB/C4/BB6AB56FD879E16AAEB6C1353C5B34C4.jpg,200,pages/zwDetail/zwDetail?uuid=inn_nvdstkaqxdwr,150,5,0,2018-12-29 11:08:56,中文,500-2000人,https://www.shixiseng.com/intern/inn_nvdstkaqxdwr
